Symbol,Count,Percentage
e,44969,0.09392472904922333
a,42756,0.08930253541836805
r,40505,0.08460097289552339
n,40462,0.08451116072827225
t,38757,0.08095000386401184
s,29217,0.06102423466457244
i,26105,0.05452434014165258
l,25370,0.052989178678173765
d,20227,0.04224722574392671
o,18214,0.03804276312354186
m,16696,0.03487218475407131
k,15801,0.03300283848221615
g,14285,0.029836437422850304
v,11176,0.023342808865087505
ä,10608,0.02215645279535149
f,9853,0.020579518230825624
h,8416,0.017578120920595602
u,7992,0.016692531178398293
p,7946,0.016596453045990094
å,7783,0.016256002272456698
ö,7268,0.015180344920495345
b,6993,0.014605964781098508
.,5695,0.011894890523145431
c,5150,0.010756573519613516
j,2981,0.006226280711061726
",",2909,0.006075897547292372
y,2735,0.0057124715681831
0,1187,0.002479233547141989
-,1024,0.00213878277360859
1,750,0.0015664912892641041
x,601,0.0012552816864636355
',522,0.0010902779373278164
9,358,0.0007477385087420657
2,348,0.0007268519582185444
5,336,0.0007017880975903187
:,331,0.000691344822328558
?,299,0.0006245078606532896
6,295,0.000616153240443881
),285,0.0005952666899203596
(,272,0.0005681141742397818
7,243,0.0005075431777215697
3,219,0.00045741545646511844
_,173,0.00036133732405692
4,167,0.0003488053937428072
8,153,0.00031956422300987727
z,67,0.0001399398885075933
/,61,0.00012740795819348046
;,51,0.00010652140766995909
!,44,9.190082230349411e-05
%,36,7.5191581884677e-05
w,29,6.057099651821203e-05
=,28,5.848234146585989e-05
q,16,3.341848083763422e-05
+,7,1.4620585366464972e-05
§,3,6.265965157056417e-06
*,2,4.1773101047042774e-06
à,1,2.0886550523521387e-06
